Burrito,Date,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa.1,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini,Great
Asada,3/8/2016,0,6.6,3.5,,,,4.0,2.0,4.0,3.5,4.5,4.0,3.5,4.0,1.0,4.25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,3/8/2016,0,7.65,3.5,,,,3.0,1.5,3.0,3.0,2.5,3.0,3.5,2.5,4.0,3.4,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,3/11/2016,0,5.0,3.5,,,,2.0,3.7830423940149633,2.5,2.0,2.0,2.0,2.0,2.5,3.979904306220096,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Asada,3/11/2016,0,5.0,1.0,,,,2.0,3.7830423940149633,1.0,1.0,0.5,1.0,1.5,1.0,4.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,3/14/2016,1,6.25,0.5,,,,3.0,5.0,4.0,2.75,4.0,1.6,3.5,3.4,5.0,3.33333,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,3/14/2016,0,6.25,3.0,,,,3.5,5.0,2.5,2.5,4.0,2.7,3.5,3.0,5.0,2.5,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,3/14/2016,0,6.25,3.75,,,,3.0,5.0,5.0,4.5,4.0,4.0,1.5,3.0,5.0,3.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
Other,3/14/2016,0,9.5,3.0,,,,3.0,3.0,4.0,3.0,3.5,4.5,3.5,3.0,3.5,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
California,3/17/2016,0,7.84,4.0,,,,4.0,4.0,3.5,4.0,4.5,4.0,3.5,3.5,4.5,4.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Asada,3/18/2016,0,7.89,1.0,,,,3.0,3.5,4.5,4.0,5.0,5.0,4.5,3.5,5.0,4.2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,3/18/2016,0,6.99,4.0,,,,4.0,3.0,3.5,3.0,4.0,5.0,3.0,3.5,5.0,3.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False
Other,3/19/2016,0,9.5,5.0,,,,3.0,3.0,3.5,3.0,4.0,1.0,3.0,2.5,5.0,3.0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,3/20/2016,1,6.99,4.0,,,,4.0,4.5,4.0,3.5,4.0,2.5,2.0,4.0,4.0,4.2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,3/20/2016,0,5.99,3.0,,,,4.0,3.5,3.5,4.0,3.5,3.5,2.0,3.5,0.5,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,False
Other,3/21/2016,0,6.95,3.5,,,,3.0,4.0,3.5,4.0,4.0,4.0,3.5,4.5,4.5,4.1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,3/21/2016,0,6.95,4.0,,,,3.0,4.5,4.0,3.0,3.0,2.0,4.0,2.0,4.5,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,False
Asada,3/21/2016,0,6.5,3.5,,,,3.75,5.0,3.0,3.0,4.5,4.5,3.5,3.0,4.5,3.25,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,3/21/2016,0,6.95,4.5,,,,2.0,5.0,3.5,4.0,2.5,5.0,3.5,2.5,4.0,3.75,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Surf & Turf,3/21/2016,0,7.65,3.0,,,,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.5,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,3/21/2016,0,7.3,3.0,,,,3.0,4.5,3.5,3.0,3.0,2.0,3.5,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
California,3/23/2016,0,8.59,2.5,,,,4.0,4.5,3.5,5.0,2.5,2.0,4.0,4.5,4.0,4.3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,3/23/2016,0,8.59,3.5,,,,4.5,4.5,4.0,4.5,4.0,4.0,4.0,4.5,5.0,4.5,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,3/30/2016,0,7.99,3.5,,,,4.0,4.0,2.0,3.0,1.5,3.0,2.5,1.0,3.0,2.5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False
California,3/30/2016,0,9.99,3.0,,,,4.0,4.5,3.5,4.0,3.0,2.0,2.5,3.5,4.0,4.0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,4/2/2016,1,8.25,3.5,,,,4.0,4.5,3.5,2.5,4.5,4.5,4.0,3.5,5.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True
Other,4/2/2016,0,7.95,2.5,,,,2.5,2.5,4.0,3.5,3.0,2.5,3.0,3.0,5.0,3.3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False
Other,4/2/2016,0,7.95,2.0,,,,4.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True
California,4/2/2016,0,8.75,3.0,,,,4.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,4/3/2016,0,6.6,3.0,,,,3.0,4.5,4.0,4.5,4.0,4.5,4.5,5.0,4.5,4.5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Other,4/3/2016,0,6.6,3.0,,,,4.0,5.0,5.0,5.0,5.0,4.0,3.371969696969697,4.5,5.0,4.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
California,4/7/2016,0,6.6,3.0,,,,3.0,5.0,3.5,3.0,4.5,2.5,3.0,4.0,4.0,3.6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Surf & Turf,4/7/2016,0,7.45,3.5,,,,3.0,5.0,3.5,2.5,3.0,2.5,3.75,3.0,4.0,3.0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Other,4/9/2016,0,6.6,3.5,,,,3.5,3.0,4.0,4.5,3.0,1.0,3.0,4.0,0.5,2.8,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Carnitas,4/9/2016,0,6.6,3.0,,,,3.0,2.5,3.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Asada,4/14/2016,0,7.89,3.5,,,,3.0,2.0,4.5,4.0,4.0,1.5,4.5,4.5,4.5,4.4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
